42.3347,-78.4548,Democrats subpoena Trump's tax returns in escalating fight with White House https://t.co/2DDLIPUlJs,0
42.3347,-78.4548,House Ways and Means committee issues subpoenas for Trump's tax returns - CNNPolitics https://t.co/khC4zn0WWl,0
42.3347,-78.4548,"@theblaze Threats, threats and more Threats, no important issues be worked on by the Democrats.",0
42.3347,-78.4548,"@RJNewsflash Is that all you liberals have left is threats against the Republicans, how about working on real important issues, like the illegals and health care and tossing out some of the Democrats who sound anti freedom for the USA",0
42.3347,-78.4548,"@ChelleG24 I'm not anti-impeachment. I'm anti-yelling at Speaker Pelosi, because she's already got House Democrats on that path, with these hearings",0
41.4443,-74.3999,"Fellow Patriot,It isn't merely the radical, impeachment-drunk Democrats who present the greatest threat to President Trump. It's leftist RINOs in the Senate who are colluding with Democrats to bring down Trump.Now Republican Senator Richard Burr is demanding Don Jr. testify",0
41.4443,-74.3999,"@realDonaldTrump ""The LAW says the administration 'SHALL' give the — 'shall.' It doesn't say 'may, should, could, under certain circumstances.' It says 'shall' give those tax returns to the Ways and Means chairman."" https://t.co/I3eikfgCeT",0
42.2361,-73.8822,So this is what #Democrats who won in Districts our President carried in 2016 promised their constituents? First 100 Days of Democrat &amp; Pelosi’s Congress - NOTHING TO SHOW FOR IT just useless partisan tripe w/ more to come. Let that sink in...,0
42.2361,-73.8822,Great idea. Now less Democrats will have sex and will not reproduce so they will eventually be extinct https://t.co/z1bshUdZwD,0
42.2361,-73.8822,@AmiHorowitz I am a registered democRAT and will never vote for a democRAT again! Obviously you don’t care what democRATS are saying about Jewish people!,0
42.2361,-73.8822,Neocon Burr isn’t running for re-election so Democrat Warner &amp; Blumenthal are running the committee. After all NEOCONS are the same as Democrats &amp; vice versa! Hope .@DonaldJTrumpJr invokes his 5th Amenment Rights &amp; be done w/ this #WitchHunt nonsense!,0
42.5236,-76.9775,Democrats are charging full steam ahead to re-elect trump. https://t.co/FrlzeoEy0l,0
42.0685,-78.1662,Tbh all Democrats are women. https://t.co/rQ6VRYF1OR,0
42.0685,-78.1662,Democrats want to ban everything they don’t like and make mandatory everything they do like. https://t.co/WaZwKIb03u,0
44.2743,-76.0069,@GOPChairwoman Will tell Joe Biden to pay for their Medicare but the Democrats pay for their own Medicare for these illegal immigrants don't take it from the true red white and blue Americans we're going to look after our own,0
44.2743,-76.0069,@KamalaHarris No it's you Democrats and that Obama administration from the past that has caused hate and Division in this great country and mr. President Trump is just putting it back together,0
44.2743,-76.0069,You assholes Democrats you don't accept the first term of President Donald Trump what do you mean you're not going to accept his second term you've done everything it's time to give him his two years over you Democrats owe him that https://t.co/NushCoGTFk,0
